ID,Voting_Intention,EUREF_Int,EUREF_SQUEEZE,EUREF_likely,Optimism,Immigration,political_attention,Newspaper_Often,Newspaper_Read,TV_News,SOAPS_Eastenders,SOAPS_CoronationStreet,SOAPS_Hollyoaks,SOAPS_Emmerdale,PhoneResponse_Landline,PhoneResponse_Mobile,voted2015,pastvote_2015,Age,house_tenure,work_stat,work_type,gender,GOR,supermarket,Age_Gender,socialgrade_single,socialgrade_matrix,education_age,profile_education_level,pvbyregion_w8,bpcagegeneduc_w8,Socgrade_matrix_w8,threeway_attention_w8,respdate,W8
1950,8,3,1,2,1,3,4,2,99,4,1,2,1,2,2,3,2, ,29,4,1,1,1,1,23,2,1,2,5,16,6,5,1,2,5/10/2016,.920936187135087
1951,2,1,9,11,3,3,11,1,4,1,2,2,2,2,2,4,2, ,42,2,1,2,1,4,2,2,1,3,2,1,24,7,2,3,5/7/2016,.951825302518794
1952,9,3,2,11,1,2,6,2,99,4,2,2,2,1,3,3,1,6,21,2,1,4,2,4,1,5,2,4,3,5,22,18,3,2,5/3/2016,1.21187560010337
1953,1,3,2,11,1,2,8,1,13,1,2,2,2,2,4,3,2, ,18,8,2,7,2,1,21,5,2,1,6,11,6,18,1,2,5/8/2016,1.03132554689707
1954,1,2,9,11,1,2,11,1,14,1,2,2,2,2,1,3,1,9,58,1,6,2,2,5,22,7,1,1,5,18,29,12,1,3,5/11/2016,.921730222160584
1955,2,1,9,11,1,3,9,1,4,1,2,2,2,2,1,4,1,2,68,1,6,8,1,4,2,4,2,6,3,18,20,1,4,3,5/4/2016,.846348733238956
1956,8,1,9,11,1,3,7,1,13,4,2,2,2,2,5,2,2, ,18,4,5,7,2,5,24,5,2,3,6,11,29,18,2,2,5/2/2016,1.01856228585334
1957,2,2,9,11,2,3,3,2,99,1,2,2,2,2,3,4,1,2,26,7,3,1,1,4,22,2,1,4,5,18,20,6,3,1,5/7/2016,1.24461935085933
1958,2,2,9,11,1,3,7,1,4,4,2,2,2,2,3,4,1,2,27,2,1,3,2,2,21,6,1,3,5,16,8,14,2,2,5/6/2016,.926385696282396
1959,4,2,9,11,1,3,8,1,4,1,2,2,2,2,3,4,2, ,45,4,1,1,1,2,12,2,1,1,5,16,12,5,1,2,4/29/2016,1.16945611305921
1960,2,1,9,10,3,1,9,1,4,7,2,2,2,2,3,2,2, ,18,8,2,8,2,1,21,5,2,2,3,11,6,18,1,3,5/1/2016,1.00474821458127
1961,2,1,9,8,3,3,8,2,99,4,1,2,2,2,5,2,2, ,34,4,4,8,2,2,21,6,2,2,5,16,12,14,1,2,5/11/2016,1.10418113604437
1962,1,1,9,11,1,2,8,2,99,1,2,2,2,2,1,2,1,2,21,4,5,8,1,5,21,1,2,1,6,16,26,8,1,2,5/8/2016,.874391261766457
1963,2,1,9,9,1,3,7,1,4,1,2,2,2,2,4,3,1,2,29,7,1,1,1,1,22,2,1,2,5,14,2,6,1,2,5/11/2016,.87675093844936
1964,2,1,9,10,3,3,6,1,5,1,2,2,2,2,5,4,1,2,19,6,5,9,2,4,12,5,2,2,6,11,20,18,1,2,5/2/2016,1.05772751820224
1965,1,2,9,11,1,2,8,2,99,1,2,2,2,2,1,1,1,1,70,6,6,4,2,1,16,8,2,5,1,1,1,10,4,2,5/4/2016,.955403971604269
1966,2,3,3,9,3,1,7,2,99,3,2,2,2,2,1,2,1,2,54,5,1,3,2,2,21,7,1,3,2,9,8,13,2,2,5/2/2016,.958690993903222
1968,2,1,9,11,2,1,11,1,4,1,1,2,2,2,2,2,1,2,37,2,1,3,1,2,21,2,1,2,5,16,8,5,1,3,5/1/2016,.988380872291118
1969,7,2,9,11,1,2,3,2,99,1,2,2,2,2,2,4,1,7,55,1,6,3,1,1,16,3,1,3,5,11,5,3,2,1,5/4/2016,.899290790031931
1970,7,1,9,10,3,2,9,1,7,1,2,2,2,2,4,2,1,9,19,8,5,8,1,4,16,1,2,3,6,11,23,9,2,3,5/9/2016,.664145241030078
1971,4,2,9,7,1,2,6,2,99,1,1,1,1,1,5,1,2, ,23,7,1,6,1,1,2,1,2,5,2,9,6,9,4,2,5/2/2016,1.15943795464526
1972,2,3,1,11,1,2,9,1,9,7,2,2,2,2,5,3,1,2,32,6, ,4,2,4,1,6,2,5,2,1,20,16,4,3,5/6/2016,.878300921147665
1973,9,1,9,9,3,3,6,1,18,1,2,2,2,2,5,3,2, ,29,9,2,7,2,2,21,6,2,3,4,20,12,15,2,2,5/2/2016,1.03259598118505
1974,3,2,9,11,1,3,7,1,14,1,2,2,2,2,2,4,1,6,67,1,2,3,2,1,22,8,1,2,2,9,4,10,1,2,5/3/2016,.879965219095873
1975,9,3,3,11,1,2,8,1,14,1,1,2,2,2,2,2,1,1,40,3,1,2,2,2,95,6,1,1,3,18,7,15,1,2,5/3/2016,.992246306738833
1977,8,3,3,1,1,2,1,2,99,3,1,1,2,1,5,2,2, ,33,2,1,3,2,1,2,6,1,3,4,9,6,16,2,1,5/4/2016,.986417533447278
1978,9,3,3,6,4,4,5,3,99,5,2,2,2,2,6,6,1,99,33,8,3,7,1,3,22,2,2,6,2,11,18,6,4,2,4/30/2016,1.03366519881448
1979,5,1,9,8,3,3,8,1,4,1,2,2,2,2,5,2,2, ,18,4,5,4,1,5,12,1,2,3,6,12,29,9,2,2,5/6/2016,1.06308218981237
1980,4,2,9,10,1,2,7,1,12,3,2,2,1,1,4,3,1,6,30,2,2,4,2,3,12,6,2,5,2,1,16,16,4,2,4/29/2016,.902928516734209
1981,2,2,9,11,1,2,9,1,18,1,2,2,2,2,1,2,1,2,55,1,6,2,1,1,22,3,1,2,4,11,2,3,1,3,5/4/2016,.88291258618187
1982,2,2,9,11,1,3,8,2,99,1,1,2,1,2,1,2,1,99,19,7,2,4,2,1,22,5,2,5,1,1,6,18,4,2,5/7/2016,1.11088285055084
1983,7,1,9,9,1,2,7,2,99,1,1,1,2,1,2,3,2, ,39,2,2,7,2,1,22,6,2,4,3,11,6,15,3,2,5/10/2016,.939727472682335
1984,2,1,9,11,3,1,9,1,4,1,2,2,2,2,2,2,1,2,22,8,3,1,1,4,16,1,1,3,5,16,20,8,2,3,5/4/2016,.867786602511254
1985,3,1,9,11,3,1,11,1,4,1,2,2,2,2,3,4,1,3,36,2,1,1,1,1,22,2,1,1,5,17,3,5,1,3,5/5/2016,.901932746277908
1986,2,1,9,11,4,3,7,1,5,1,2,2,2,2,1,1,1,2,18,7,5,7,1,5,22,1,2,3,6,11,26,9,2,2,5/3/2016,1.01356720842183
1987,8,4,9,1,1,4,6,2,99,4,1,2,1,2,4,1,2, ,22,4,5,4,2,5,2,5,2,3,6,18,29,18,2,2,5/4/2016,1.01856228585334
1988,2,1,9,11,2,1,7,1,4,1,2,2,2,2,3,3,1,2,19,8,5,9,1,1,21,1,2,1,6,11,2,9,1,2,5/9/2016,1.08629568364611
1989,2,2,9,7,1,2,6,2,99,7,2,2,2,2,4,4,2, ,35,2,1,6,1,4,2,2,2,3,2,5,24,7,2,2,5/11/2016,.977002732052393
1990,2,1,9,10,1,3,7,1,14,1,2,2,2,2,2,3,1,2,19,8,5,7,2,1,22,5,2,2,6,11,2,18,1,2,5/10/2016,1.04080364176027
1991,9,3,3,6,4,4,5,3,99,1,1,2,2,2,6,6,99, ,23,9,5,9,1,4,99,1,2,1,6,19,24,9,1,2,5/2/2016,1.13773008255802
1992,2,1,9,11,1,3,3,2,99,3,2,2,2,2,2,2,1,2,20,7,2,7,2,5,12,5,2,6,2,11,26,18,4,1,5/9/2016,1.35185481268314
1993,7,1,9,8,1,1,7,2,99,1,2,1,1,1,5,2,1,7,19,6,5,9,1,4,22,1,2,2,6,11,23,9,1,2,5/11/2016,.704902444345701
