ID,Phone_Type,Voting_Intention,EUREF_Int,EUREF_SQUEEZE,EUREF_likely,Optimism,Immigration,political_attention,Newspaper_Often,Newspaper_Read,TV_News,SOAPS_Eastenders,SOAPS_CoronationStreet,SOAPS_Hollyoaks,SOAPS_Emmerdale,PhoneResponse_Landline,PhoneResponse_Mobile,voted2015,pastvote_2015,Age,house_tenure,work_stat,work_type,gender,GOR,supermarket,Age_Gender,socialgrade_single,education_age,education_ageR,Education_still,pvbyregion_w8,bpcagegeneduc_w8,socgrade_single_w8,threeway_attention_w8,respdate,W8
3715,1,1,1, ,11,3,1,7,1,14,3,2,2,2,2, ,1,1,9,55,2,1,1,2,1,6,7,1,17,2, ,5,12,1,2,5/10/2016,.477786045272263
3804,1,6,3,1,8,1,3,4,2, ,1,2,2,2,2, ,4,1,7,55,4,3,7,2,1,5,7,2,17,2, ,5,12,2,2,5/11/2016,.406096096798033
3925,1,4,2, ,11,4,2,6,2, ,1,2,2,2,2, ,4,1,9,72,6,6,7,2,1,6,8,2,17,2, ,5,10,2,2,5/9/2016,.247854579073704
3035,1,8,2, ,11,3,3,5,1,7,4,2,2,2,2, ,3,2, ,35,5,1,4,2,1,2,6,1,17,2, ,6,15,1,2,5/9/2016,3.06017194134049
3172,1,1,2, ,11,4,3,6,1,14,1,2,2,2,2, ,1,2, ,40,2,1,6,1,1,3,2,2,17,2, ,6,6,2,2,5/10/2016,1.51430046749686
3288,2,7,3,2,9,1,3,8,2, ,1,2,2,2,2,4, ,2, ,24,3,1,6,1,1,2,1,2,17,2, ,6,9,2,2,5/9/2016,1.13842444244296
3193,2,4,2, ,11,1,3,6,2, ,1,2,2,2,2,3, ,1,1,54,2,2,4,2,2,7,7,1,17,2, ,7,12,1,2,5/11/2016,1.43373191501829
3416,1,3,3,3,11,2,4,7,2, ,6,2,2,2,2, ,1,1,1,69,1,1,1,2,2,6,8,1,17,2, ,7,10,1,2,5/6/2016,.875056478265354
3478,1,1,2, ,11,3,3,9,2, ,1,2,2,2,2, ,3,1,1,57,2,4,2,2,2,9,7,1,17,2, ,7,12,1,3,5/11/2016,.796978276130535
3200,1,2,3,1,6,1,3,4,2, ,1,2,2,2,2, ,4,1,3,52,2,1,2,2,2,6,7,1,17,2, ,9,12,1,2,5/10/2016,1.41676244509043
3203,1,8,2, ,6,1,2,1,2, ,1,1,2,2,2, ,2,1,6,23,1,1,6,1,2,6,1,2,17,2, ,10,9,2,1,5/11/2016,1.40355261721813
3225,1,8,2, ,7,3,2,9,2, ,1,1,2,2,2, ,2,2, ,53,2,1,3,1,2,7,3,1,17,2, ,12,3,1,3,5/10/2016,1.31038800949992
3404,1,2,1, ,10,1,3,9,1,14,1,2,2,1,2, ,4,2, ,19,3,2,3,2,2,2,5,1,17,2, ,12,18,1,3,5/11/2016,.887169965568749
3492,1,8,3,2,11,1,3,8,1,7,1,2,2,2,2, ,3,1,1,76,1,6,4,2,3,5,8,1,17,2, ,13,10,1,2,5/5/2016,.77754448063065
3770,1,1,1, ,1,3,1,9,2, ,1,2,2,2,2, ,5,1,1,69,1,6,2,2,3,7,8,1,17,2, ,13,10,1,3,5/7/2016,.432218919936593
3642,1,2,1, ,6,1,2,9,2, ,1,2,2,2,2, ,2,1,2,55,1,3,9,2,3,5,7,2,17,2, ,14,12,2,3,5/7/2016,.567426755872543
3801,1,2,1, ,11,1,2,9,1,9,2,2,2,2,1, ,5,1,2,78,1,6,1,2,3,3,8,1,17,2, ,14,10,1,3,5/5/2016,.407457754669661
3336,1,4,2, ,11,3,3,9,1,7,4,2,2,2,2, ,3,1,6,58,1,2,3,2,3,2,7,1,17,2, ,16,12,1,3,5/5/2016,1.0562907094862
3598,1,1,2, ,11,2,2,9,1,7,1,2,2,2,1, ,4,1,6,78,1,6,4,2,3,1,8,1,17,2, ,16,10,1,3,5/5/2016,.644690976454699
